INFO:root:Number of parameters: 4230654
INFO:root:007: Acc-tr:  94.30, Acc-val:  66.49, L-tr: 0.1814, L-val: 1.7406, Time: 87.883273
INFO:root:008: Acc-tr:  93.16, Acc-val:  65.96, L-tr: 0.2280, L-val: 1.7678, Time: 98.672061
INFO:root:009: Acc-tr:  92.95, Acc-val:  67.05, L-tr: 0.2316, L-val: 1.7517, Time: 109.521602
INFO:root:010: Acc-tr:  93.39, Acc-val:  65.29, L-tr: 0.2148, L-val: 1.8164, Time: 120.348595
INFO:root:011: Acc-tr:  93.82, Acc-val:  66.78, L-tr: 0.2023, L-val: 1.8149, Time: 131.100122
INFO:root:012: Acc-tr:  94.45, Acc-val:  65.92, L-tr: 0.1765, L-val: 1.8852, Time: 141.990121
INFO:root:013: Acc-tr:  94.24, Acc-val:  66.96, L-tr: 0.1886, L-val: 1.9626, Time: 152.674386
INFO:root:014: Acc-tr:  94.46, Acc-val:  66.51, L-tr: 0.1800, L-val: 1.8681, Time: 163.679546
INFO:root:015: Acc-tr:  93.75, Acc-val:  65.98, L-tr: 0.2077, L-val: 1.6811, Time: 174.506091
INFO:root:016: Acc-tr:  94.68, Acc-val:  66.41, L-tr: 0.1708, L-val: 2.0164, Time: 185.437402
INFO:root:017: Acc-tr:  95.28, Acc-val:  66.68, L-tr: 0.1569, L-val: 2.0002, Time: 196.349046
INFO:root:018: Acc-tr:  95.42, Acc-val:  66.50, L-tr: 0.1490, L-val: 2.1285, Time: 207.302744
INFO:root:019: Acc-tr:  95.83, Acc-val:  67.41, L-tr: 0.1364, L-val: 2.1410, Time: 218.201113
INFO:root:020: Acc-tr:  95.34, Acc-val:  67.18, L-tr: 0.1566, L-val: 2.1094, Time: 228.985662
INFO:root:021: Acc-tr:  94.90, Acc-val:  66.70, L-tr: 0.1686, L-val: 2.1121, Time: 240.104079
INFO:root:022: Acc-tr:  95.81, Acc-val:  66.52, L-tr: 0.1416, L-val: 2.1465, Time: 251.087956
INFO:root:023: Acc-tr:  95.59, Acc-val:  65.73, L-tr: 0.1467, L-val: 2.0791, Time: 261.886768
INFO:root:024: Acc-tr:  95.85, Acc-val:  66.17, L-tr: 0.1424, L-val: 2.1449, Time: 272.796698
INFO:root:025: Acc-tr:  95.80, Acc-val:  65.69, L-tr: 0.1389, L-val: 2.1970, Time: 283.561039
INFO:root:026: Acc-tr:  96.38, Acc-val:  67.00, L-tr: 0.1195, L-val: 2.1427, Time: 294.498243
INFO:root:027: Acc-tr:  97.05, Acc-val:  67.58, L-tr: 0.0960, L-val: 2.2277, Time: 305.580036
